Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIPRULI.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2022-03-31,2011.0703125,760.4763793945312,4464.02783203125,2998.169677734375,757.8479614257812,3388.7138671875,1703.457763671875,7167.025390625,744.0263061523438,158.43763732910156,3059.0810546875,988.3501586914062,144.7178497314453,4272.60888671875,852.4238891601562,2387.801025390625,1636.9476318359375,1028.3848876953125,1417.613525390625,533.12060546875,2080.351318359375,557.46728515625,1952.2886962890625,708.0177612304688,499.3545837402344,907.7738647460938,1772.524658203125,226.38963317871094,702.20849609375,1749.4354248046875,1712.325927734375,5911.71533203125,776.243896484375,7372.17822265625,1677.971923828125,122.1789779663086,134.5847930908203,140.50682067871094,1207.8828125,1114.69482421875,468.840087890625,23750.734375,888.47216796875,757.7481079101562,431.07208251953125,3509.56201171875,1362.7708740234375,2502.289306640625,6496.224609375,288.85479736328125
2022-04-01,2039.917724609375,771.8215942382812,4454.93359375,3031.461669921875,771.1898803710938,3469.326904296875,1711.3209228515625,7313.279296875,747.5248413085938,165.0731658935547,3082.217041015625,985.243408203125,147.16864013671875,4250.9169921875,849.2487182617188,2411.17236328125,1642.8009033203125,1033.5987548828125,1451.98486328125,545.1558837890625,2031.3837890625,558.4461669921875,1980.401123046875,713.786376953125,506.43267822265625,939.9932861328125,1769.4571533203125,228.78314208984375,701.7772216796875,1772.1778564453125,1734.0731201171875,5929.09912109375,795.492431640625,7507.4580078125,1695.0262451171875,129.3739776611328,137.910400390625,145.8535919189453,1217.555908203125,1106.643798828125,482.7566833496094,24324.1796875,882.5960083007812,769.8346557617188,438.4263610839844,3527.2041015625,1351.5465087890625,2487.193603515625,6563.3779296875,293.68609619140625
2022-04-04,2062.076904296875,804.0401611328125,4512.314453125,3035.20947265625,780.6983642578125,3491.358642578125,1717.027099609375,7394.7724609375,756.6903076171875,167.6304168701172,3119.759033203125,997.8157958984375,148.43359375,4365.349609375,856.730224609375,2438.139404296875,1652.392333984375,1048.974853515625,1597.3763427734375,566.4034423828125,2096.31103515625,575.0869750976562,2028.3349609375,723.8204345703125,507.5791320800781,958.0440063476562,1750.30810546875,230.72503662109375,702.2564086914062,1831.428466796875,1769.188720703125,6050.92724609375,802.373779296875,7580.33837890625,1720.412353515625,130.5957794189453,137.9925079345703,147.37661743164062,1221.15478515625,1119.5157470703125,486.7464294433594,24474.59765625,899.447509765625,768.1776733398438,443.9918212890625,3538.08984375,1362.0438232421875,2483.395263671875,6635.5498046875,295.5405578613281
2022-04-05,2135.94189453125,833.0172729492188,4501.73828125,3057.404052734375,779.7027587890625,3534.076904296875,1679.3343505859375,7293.88037109375,755.5076293945312,167.54220581054688,3151.62451171875,991.6510009765625,148.55218505859375,4330.02001953125,859.2603759765625,2471.66552734375,1674.625,1056.3978271484375,1550.5675048828125,564.2737426757812,2114.90087890625,574.4507446289062,2039.1512451171875,719.1669311523438,506.58221435546875,944.5059814453125,1729.997314453125,234.33787536621094,702.9752197265625,1797.66357421875,1778.5850830078125,6086.70263671875,805.1166381835938,7567.71240234375,1740.01513671875,134.9398956298828,141.1128387451172,151.03834533691406,1203.894287109375,1111.6136474609375,483.8965759277344,24862.88671875,902.409912109375,786.2587280273438,455.2220458984375,3579.80126953125,1353.31884765625,2515.1650390625,6618.0849609375,292.3929138183594
2022-04-06,2156.05517578125,834.7852783203125,4459.7275390625,3070.254150390625,770.343505859375,3526.74853515625,1669.46435546875,7252.912109375,764.4267578125,170.09942626953125,3131.68505859375,998.9806518554688,153.25621032714844,4257.904296875,848.712890625,2459.275146484375,1672.1163330078125,1034.349853515625,1495.2261962890625,550.60400390625,2128.185546875,568.9691162109375,2041.295654296875,718.9730224609375,514.9064331054688,939.7021484375,1700.0191650390625,234.4733428955078,706.7611694335938,1774.921142578125,1794.81103515625,6075.0810546875,796.7435302734375,7550.50390625,1758.7012939453125,138.46951293945312,141.8929443359375,153.37147521972656,1200.685302734375,1100.431396484375,488.21881103515625,24442.921875,901.4385986328125,788.7930297851562,453.3337707519531,3524.013427734375,1326.3260498046875,2506.137451171875,6627.923828125,289.6600036621094
2022-04-07,2095.216064453125,802.9105834960938,4484.19287109375,3071.2275390625,788.6636962890625,3527.166015625,1652.8795166015625,7196.88818359375,751.3684692382812,167.8949432373047,3142.752197265625,1006.4559326171875,150.80538940429688,4317.64501953125,856.77978515625,2466.758056640625,1654.6058349609375,1036.8243408203125,1462.3492431640625,553.7243041992188,2131.541015625,562.6063842773438,2062.9755859375,725.7109985351562,519.9408569335938,943.8751220703125,1683.4266357421875,231.8088836669922,697.799560546875,1762.003662109375,1769.140380859375,5960.55224609375,802.951171875,7449.3974609375,1755.9642333984375,138.9219970703125,138.64944458007812,149.9365692138672,1179.5052490234375,1102.1707763671875,489.1687316894531,24452.30859375,904.206787109375,784.552978515625,446.7248229980469,3457.199951171875,1334.6875,2425.5283203125,6628.416015625,283.46221923828125
2022-04-08,2166.98486328125,824.4224243164062,4553.03857421875,3121.116455078125,791.45166015625,3534.679931640625,1672.3599853515625,7272.310546875,751.07275390625,169.54832458496094,3194.080078125,982.0883178710938,153.8096466064453,4373.4541015625,879.1945190429688,2483.083984375,1742.4539794921875,1029.798583984375,1460.3245849609375,559.4695434570312,2142.285888671875,569.45849609375,2080.366943359375,731.28564453125,532.153076171875,956.4912109375,1686.7730712890625,241.87965393066406,725.1632690429688,1780.0081787109375,1773.450927734375,5909.60302734375,825.1832885742188,7368.91259765625,1781.490234375,137.6097412109375,140.33279418945312,150.74667358398438,1199.12646484375,1153.4599609375,490.2611083984375,24964.384765625,898.0391235351562,797.0294189453125,449.25909423828125,3458.607421875,1316.692138671875,2476.439208984375,6727.15380859375,284.8287048339844
2022-04-11,2176.21826171875,839.402099609375,4608.3935546875,3073.6123046875,782.639892578125,3513.158447265625,1655.2708740234375,7242.74365234375,747.0814208984375,171.2237548828125,3196.70361328125,995.5828247070312,155.272216796875,4371.3671875,869.3018798828125,2473.7548828125,1790.5592041015625,1001.6536254882812,1442.4881591796875,562.0450439453125,2117.757080078125,564.172607421875,2061.307861328125,736.4238891601562,535.4927978515625,951.4933471679688,1642.10791015625,241.60873413085938,735.5146484375,1778.960693359375,1725.742431640625,5819.8515625,824.6538696289062,7376.17578125,1778.9365234375,138.55999755859375,140.5791015625,149.6449432373047,1196.6280517578125,1135.6181640625,489.12127685546875,24908.0546875,898.8162231445312,800.7333374023438,449.25909423828125,3468.6953125,1317.101318359375,2456.607666015625,6748.5546875,278.7041015625
2022-04-12,2192.9375,829.923095703125,4572.95703125,3045.576904296875,794.9862060546875,3443.49169921875,1629.3304443359375,7181.38916015625,730.9187622070312,167.80674743652344,3190.454833984375,997.28173828125,147.05006408691406,4341.86083984375,867.6845092773438,2450.626708984375,1726.9600830078125,999.5769653320312,1439.9332275390625,556.9931640625,2083.751953125,530.8909301757812,2031.95654296875,740.5441284179688,533.6484375,956.0059814453125,1619.7054443359375,239.17002868652344,724.492431640625,1797.314453125,1693.000244140625,5676.55908203125,828.4554443359375,7427.8017578125,1778.1112060546875,138.10748291015625,138.69049072265625,151.0707244873047,1174.0955810546875,1142.1783447265625,487.173828125,24828.00390625,894.8339233398438,791.5709228515625,435.5939636230469,3463.721923828125,1286.0185546875,2454.979736328125,6666.69091796875,272.65277099609375
2022-04-13,2195.43310546875,825.60107421875,4689.74462890625,2998.85107421875,789.6095581054688,3429.808837890625,1606.5648193359375,7234.64892578125,729.9332275390625,167.101318359375,3195.74951171875,986.9423828125,147.52444458007812,4366.95068359375,853.1680908203125,2421.133056640625,1737.240234375,994.2303466796875,1412.4072265625,559.51904296875,2062.44189453125,535.197998046875,2050.92041015625,738.9930419921875,539.3308715820312,954.356201171875,1625.3758544921875,243.46029663085938,734.5081787109375,1775.1204833984375,1705.6903076171875,5799.7314453125,833.5563354492188,7282.6748046875,1774.693359375,139.32928466796875,143.08360290527344,148.7376251220703,1169.7861328125,1139.99169921875,491.78106689453125,25066.076171875,909.8401489257812,796.931884765625,428.38873291015625,3436.36767578125,1281.88330078125,2428.48828125,6621.921875,272.8967590332031
